,HSBC,VOD
2009-11-02,56.15,28.1132
2009-11-03,55.32,28.1132
2009-11-04,55.48,27.9758
2009-11-05,55.99,28.5129
2009-11-06,56.7,28.2506
2009-11-09,58.3,28.95
2009-11-10,60.1,28.5503
2009-11-11,60.27,27.9758
2009-11-12,60.45,28.1632
2009-11-13,62.1,28.6253
2009-11-16,63.95,29.1873
2009-11-17,63.45,29.3871
2009-11-18,62.6,28.6003
2009-11-19,61.49,28.1632
2009-11-20,60.91,28.0008
2009-11-23,61.95,28.1881
2009-11-24,61.32,28.2256
2009-11-25,62.07,28.9625
2009-11-26,62.07,28.9625
2009-11-27,58.46,28.7876
2009-11-30,59.01,28.338
2009-12-01,60.18,29.2622
2009-12-02,60.16,29.9491
2009-12-03,59.8,29.0499
2009-12-04,59.92,29.2622
2009-12-07,58.66,28.9875
2009-12-08,57.12,28.6128
2009-12-09,57.48,28.5378
2009-12-10,58.02,28.8001
2009-12-11,57.58,28.9125
2009-12-14,58.83,29.0749
2009-12-15,57.11,28.7626
2009-12-16,57.6,29.1373
2009-12-17,55.35,28.6003
2009-12-18,55.33,27.9384
2009-12-21,56.45,28.5378
2009-12-22,56.64,28.5004
2009-12-23,57.07,28.5129
2009-12-24,57.42,28.5753
2009-12-25,57.42,28.5753
2009-12-28,57.39,28.7377
2009-12-29,56.98,28.7252
2009-12-30,57.33,28.8501
2009-12-31,57.09,28.8376
2010-01-01,57.09,28.8376
2010-01-04,58.32,28.9625
2010-01-05,59.25,28.7502
2010-01-06,59.32,28.5254
2010-01-07,59.13,27.9883
2010-01-08,59.0,27.5637
2010-01-11,59.04,27.9633
2010-01-12,58.8,27.9259
2010-01-13,58.86,28.2631
2010-01-14,58.56,28.1007
2010-01-15,57.55,27.5887
2010-01-18,57.55,27.5887
2010-01-19,57.62,28.313
2010-01-20,56.04,27.9384
2010-01-21,54.74,27.5137
2010-01-22,53.54,26.9142
2010-01-25,54.9,27.164
2010-01-26,54.08,27.189
2010-01-27,54.2,27.4887
2010-01-28,53.9,27.0266
2010-01-29,53.51,26.8018
2010-02-01,54.58,27.0017
2010-02-02,54.84,27.3389
2010-02-03,54.4,27.0516
2010-02-04,51.79,27.5512
2010-02-05,51.38,27.5637
2010-02-08,50.31,27.189
2010-02-09,51.45,27.164
2010-02-10,51.55,27.2015
2010-02-11,51.87,27.2764
2010-02-12,51.01,27.3639
2010-02-15,51.01,27.3639
2010-02-16,52.54,27.6386
2010-02-17,53.39,27.6636
2010-02-18,53.62,27.8384
2010-02-19,53.28,27.6761
2010-02-22,54.0,27.4887
2010-02-23,53.88,27.1765
2010-02-24,55.23,27.4638
2010-02-25,54.89,27.4763
2010-02-26,54.92,27.189
2010-03-01,51.58,27.0017
2010-03-02,52.27,27.2889
2010-03-03,52.6,27.9508
2010-03-04,52.35,27.9259
2010-03-05,53.63,28.0608
2010-03-08,53.2,28.0882
2010-03-09,52.7,28.0633
2010-03-10,52.75,28.0633
2010-03-11,52.58,28.4504
2010-03-12,51.87,28.7252
2010-03-15,51.85,28.5878
2010-03-16,52.19,28.6752
2010-03-17,52.97,28.4379
2010-03-18,52.19,28.2881
2010-03-19,51.17,28.1881
2010-03-22,51.5,28.0882
2010-03-23,51.32,28.1881
2010-03-24,50.35,27.7011
2010-03-25,50.92,27.4263
2010-03-26,51.08,27.4138
2010-03-29,51.25,28.7252
2010-03-30,50.85,28.9625
2010-03-31,50.69,29.1123
2010-04-01,51.66,29.1748
2010-04-02,51.66,29.1748
2010-04-05,51.75,29.3247
2010-04-06,51.46,28.7751
2010-04-07,51.38,28.313
2010-04-08,51.93,28.6253
2010-04-09,53.12,28.8251
2010-04-12,53.26,28.7377
2010-04-13,53.38,28.8501
2010-04-14,53.84,29.2497
2010-04-15,54.97,29.5869
2010-04-16,53.61,29.1998
2010-04-19,53.31,29.0749
2010-04-20,53.25,29.0249
2010-04-21,52.52,29.0874
2010-04-22,52.73,28.925
2010-04-23,52.63,28.8501
2010-04-26,52.94,28.7751
2010-04-27,50.8,27.6511
2010-04-28,50.87,27.3763
2010-04-29,51.74,27.8884
2010-04-30,50.89,27.726
2010-05-03,51.38,28.0508
2010-05-04,49.81,27.139
2010-05-05,49.4,26.6894
2010-05-06,46.69,25.7403
2010-05-07,46.78,24.9799
2010-05-10,49.78,26.1774
2010-05-11,49.03,25.6403
2010-05-12,49.65,25.8402
2010-05-13,48.56,25.3406
2010-05-14,47.35,24.6537
2010-05-17,47.41,25.0658
2010-05-18,46.79,24.4039
2010-05-19,46.41,23.9918
2010-05-20,44.92,23.3423
2010-05-21,45.75,23.7919
2010-05-24,45.35,23.3298
2010-05-25,45.47,23.9293
2010-05-26,44.37,23.9793
2010-05-27,46.48,25.0908
2010-05-28,45.36,25.1033
2010-05-31,45.36,25.1033
2010-06-01,45.63,25.2782
2010-06-02,46.75,25.0034
2010-06-03,46.56,25.4905
2010-06-04,45.3,24.9784
2010-06-07,44.97,24.7037
2010-06-08,45.96,24.5413
2010-06-09,45.77,24.7661
2010-06-10,47.33,25.7527
2010-06-11,47.3,25.7652
2010-06-14,47.37,25.9276
2010-06-15,48.43,26.5021
2010-06-16,48.01,26.3273
2010-06-17,48.09,26.4272
2010-06-18,48.05,26.5271
2010-06-21,48.38,26.5521
2010-06-22,48.25,26.2648
2010-06-23,48.54,26.6645
2010-06-24,47.88,26.9642
2010-06-25,48.43,27.0516
2010-06-28,48.02,27.5012
2010-06-29,46.2,26.7269
2010-06-30,45.59,25.8152
2010-07-01,45.91,26.4022
2010-07-02,45.7,26.1899
2010-07-05,45.7,26.1899
2010-07-06,46.34,26.3897
2010-07-07,47.04,27.214
2010-07-08,47.49,27.3763
2010-07-09,47.57,27.2889
2010-07-12,47.8,27.1515
2010-07-13,48.73,27.8759
2010-07-14,48.82,27.9384
2010-07-15,49.28,28.1757
2010-07-16,47.62,27.6012
