,AAL,AZN,BG,BP,GSK,HSBC,PRU,RIO,TSCO,VOD
2015-03-09,47.92,33.085,80.26,40.28,47.06,42.95,82.64,44.12,85.38,33.02
2015-03-10,46.735,32.285,79.74,39.04,46.03,42.35,79.87,42.91,84.06,32.45
2015-03-11,47.39,32.22,78.86,38.23,45.63,42.05,80.46,42.53,84.73,32.3
2015-03-12,48.68,33.425,79.66,38.16,46.37,41.97,82.33,42.68,87.25,32.4
2015-03-13,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-14,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-15,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-16,50.22,34.36,79.53,37.55,46.97,41.75,83.07,42.51,88.32,32.9
2015-03-17,53.69,34.365,78.96,37.82,47.23,42.25,82.32,42.55,87.72,32.7
2015-03-18,54.13,35.435,80.06,39.35,48.74,43.09,81.83,42.94,88.2,33.53
2015-03-19,55.19,35.45,79.03,38.97,48.21,42.57,80.21,42.08,88.01,33.15
2015-03-20,55.76,36.35,80.19,40.1,48.81,43.56,82.68,43.58,88.945,33.96
2015-03-21,55.76,36.35,80.19,40.1,48.81,43.56,82.68,43.58,88.945,33.96
2015-03-22,55.76,36.35,80.19,40.1,48.81,43.56,82.68,43.58,88.945,33.96
2015-03-23,54.395,36.11,81.04,40.14,48.37,43.21,81.77,44.19,88.19,33.88
2015-03-24,53.93,35.725,79.91,39.51,47.73,43.02,80.58,43.04,87.585,33.55
2015-03-25,52.01,35.255,79.55,40.01,47.35,43.24,79.38,43.3,85.91,33.24
2015-03-26,51.265,34.885,78.5,39.81,46.66,43.13,80.04,42.72,85.23,33.2
2015-03-27,52.66,35.035,80.07,39.61,47.02,43.12,79.14,41.88,86.17,33.46
2015-03-28,52.66,35.035,80.07,39.61,47.02,43.12,79.14,41.88,86.17,33.46
2015-03-29,52.66,35.035,80.07,39.61,47.02,43.12,79.14,41.88,86.17,33.46
2015-03-30,53.64,34.97,81.8,39.84,47.2,43.19,80.37,42.37,86.575,33.22
2015-03-31,52.78,34.215,82.36,39.11,46.15,42.59,80.31,41.4,85.06,32.68
2015-04-01,50.44,34.395,83.16,39.5,46.69,42.92,79.45,41.1,84.71,32.71
2015-04-02,49.175,34.4,83.62,39.65,46.71,43.15,80.53,41.2,85.62,32.89
2015-04-03,49.175,34.4,83.62,39.65,46.71,43.15,80.53,41.2,85.62,32.89
2015-04-04,49.175,34.4,83.62,39.65,46.71,43.15,80.53,41.2,85.62,32.89
2015-04-05,49.175,34.4,83.62,39.65,46.71,43.15,80.53,41.2,85.62,32.89
2015-04-06,48.08,34.72,83.98,40.13,47.01,43.52,80.12,41.68,86.24,33.03
2015-04-07,47.495,34.805,83.79,40.25,47.26,43.49,79.67,42.48,85.375,33.17
2015-04-08,48.74,34.94,84.51,40.77,47.41,43.77,80.23,42.55,85.57,33.2
2015-04-09,47.84,35.08,84.32,41.35,47.72,44.54,81.13,42.13,86.0,33.22
2015-04-10,47.73,34.955,84.91,41.54,48.23,44.69,80.34,41.45,87.28,33.53
2015-04-11,47.73,34.955,84.91,41.54,48.23,44.69,80.34,41.45,87.28,33.53
2015-04-12,47.73,34.955,84.91,41.54,48.23,44.69,80.34,41.45,87.28,33.53
2015-04-13,47.79,34.42,84.82,41.23,48.03,45.27,80.97,40.96,87.5,33.35
2015-04-14,47.42,35.51,85.89,41.8,48.2,45.64,79.91,42.82,87.33,33.94
2015-04-15,47.75,35.955,86.95,42.42,47.77,45.89,80.08,42.59,86.45,33.82
2015-04-16,48.24,36.015,86.65,42.55,47.58,45.43,80.16,42.45,86.47,33.96
2015-04-17,48.19,35.66,85.55,42.89,47.29,44.86,79.13,42.02,87.0,33.89
2015-04-18,48.19,35.66,85.55,42.89,47.29,44.86,79.13,42.02,87.0,33.89
2015-04-19,48.19,35.66,85.55,42.89,47.29,44.86,79.13,42.02,87.0,33.89
2015-04-20,49.76,35.775,84.92,42.82,47.1,45.51,79.93,42.6,88.53,33.99
2015-04-21,51.36,36.35,84.57,42.78,47.24,45.6,79.71,41.71,90.82,33.95
2015-04-22,51.4,36.675,84.85,43.24,46.57,45.61,81.12,43.39,90.83,34.2
2015-04-23,51.45,36.565,85.71,43.6,46.31,46.11,81.31,44.87,91.26,34.68
2015-04-24,52.705,35.895,85.8,43.46,46.59,47.71,80.79,45.72,90.98,35.2
2015-04-25,52.705,35.895,85.8,43.46,46.59,47.71,80.79,45.72,90.98,35.2
2015-04-26,52.705,35.895,85.8,43.46,46.59,47.71,80.79,45.72,90.98,35.2
2015-04-27,51.87,35.38,86.32,43.04,46.85,49.48,80.22,45.63,90.65,35.17
2015-04-28,51.19,34.975,86.66,43.48,47.03,49.57,81.15,45.68,89.6,35.25
2015-04-29,48.88,34.39,87.03,43.59,46.79,50.17,82.52,45.16,88.45,35.62
2015-04-30,48.285,34.24,86.37,43.16,46.15,49.63,81.6,44.79,86.06,35.2
2015-05-01,49.39,33.94,88.78,43.23,45.97,49.23,83.36,45.87,87.16,34.93
2015-05-02,49.39,33.94,88.78,43.23,45.97,49.23,83.36,45.87,87.16,34.93
2015-05-03,49.39,33.94,88.78,43.23,45.97,49.23,83.36,45.87,87.16,34.93
2015-05-04,48.95,34.255,89.28,43.41,46.34,49.1,84.19,45.79,87.33,35.03
2015-05-05,47.005,33.67,88.03,43.1,45.6,47.57,83.4,45.91,85.89,34.75
2015-05-06,47.045,33.68,88.64,42.5,46.02,48.25,83.7,45.67,84.65,35.27
2015-05-07,49.06,33.64,89.5,41.83,44.22,48.18,85.17,45.62,85.69,35.22
2015-05-08,49.04,34.96,89.91,42.71,45.28,49.48,85.58,46.11,86.92,35.85
2015-05-09,49.04,34.96,89.91,42.71,45.28,49.48,85.58,46.11,86.92,35.85
2015-05-10,49.04,34.96,89.91,42.71,45.28,49.48,85.58,46.11,86.92,35.85
2015-05-11,49.645,35.08,89.95,42.58,45.72,49.09,86.77,46.88,87.12,36.38
2015-05-12,48.85,34.51,89.98,42.69,45.27,48.49,86.23,46.77,86.82,36.47
2015-05-13,48.49,34.675,90.62,42.77,44.53,48.32,86.08,46.48,86.43,36.9
2015-05-14,48.815,35.05,91.22,42.96,44.99,48.67,86.3,46.36,87.66,36.93
2015-05-15,48.665,34.645,91.86,42.81,44.77,48.81,85.46,46.13,88.48,37.04
2015-05-16,48.665,34.645,91.86,42.81,44.77,48.81,85.46,46.13,88.48,37.04
2015-05-17,48.665,34.645,91.86,42.81,44.77,48.81,85.46,46.13,88.48,37.04
2015-05-18,49.0,34.37,91.92,42.39,44.66,48.45,86.43,45.64,90.13,36.51
2015-05-19,47.85,34.32,91.43,41.83,44.68,47.85,86.28,44.25,90.07,36.2
2015-05-20,43.06,34.26,92.24,42.08,44.88,47.81,85.64,44.63,89.91,37.14
2015-05-21,42.47,34.93,91.62,42.9,45.56,47.96,85.63,44.97,90.59,38.68
2015-05-22,42.61,34.725,91.22,42.5,45.26,48.11,85.12,44.88,90.52,39.21
2015-05-23,42.61,34.725,91.22,42.5,45.26,48.11,85.12,44.88,90.52,39.21
2015-05-24,42.61,34.725,91.22,42.5,45.26,48.11,85.12,44.88,90.52,39.21
2015-05-25,42.61,34.725,91.22,42.5,45.26,48.11,85.12,44.88,90.52,39.21
2015-05-26,41.555,33.84,90.45,41.63,43.84,47.4,83.97,44.3,88.33,38.65
2015-05-27,42.24,34.375,91.44,41.79,44.61,47.81,85.2,44.43,89.0,38.65
2015-05-28,41.97,34.45,91.52,41.55,44.79,47.69,85.07,44.14,88.37,39.18
2015-05-29,42.37,33.775,92.56,41.46,44.37,47.5,84.61,43.77,87.14,39.03
2015-05-30,42.37,33.775,92.56,41.46,44.37,47.5,84.61,43.77,87.14,39.03
2015-05-31,42.37,33.775,92.56,41.46,44.37,47.5,84.61,43.77,87.14,39.03
2015-06-01,44.18,33.52,91.66,40.95,44.15,47.47,84.32,43.17,87.75,38.81
2015-06-02,43.775,33.5,91.26,41.5,44.24,47.78,85.52,44.69,88.58,38.65
2015-06-03,43.13,33.8,91.28,41.23,44.03,47.9,86.99,44.1,90.25,38.25
2015-06-04,42.17,33.295,90.18,40.62,43.13,47.46,86.6,43.84,88.19,37.71
2015-06-05,41.72,33.51,90.03,40.56,42.56,47.18,88.24,43.63,87.98,37.05
2015-06-06,41.72,33.51,90.03,40.56,42.56,47.18,88.24,43.63,87.98,37.05
2015-06-07,41.72,33.51,90.03,40.56,42.56,47.18,88.24,43.63,87.98,37.05
2015-06-08,39.86,33.11,89.6,40.53,42.24,47.37,87.58,43.25,87.59,37.22
2015-06-09,40.325,32.69,89.71,40.55,42.16,47.0,87.97,42.42,87.3,37.18
2015-06-10,40.43,33.2,91.75,41.28,42.93,47.57,90.55,43.9,88.94,36.54
2015-06-11,40.02,33.215,91.82,41.42,43.2,47.47,89.93,44.17,90.11,36.62
2015-06-12,40.705,32.845,91.66,40.8,42.71,47.45,89.24,44.04,90.19,36.365
2015-06-13,40.705,32.845,91.66,40.8,42.71,47.45,89.24,44.04,90.19,36.365
2015-06-14,40.705,32.845,91.66,40.8,42.71,47.45,89.24,44.04,90.19,36.365
2015-06-15,40.07,32.495,91.09,40.92,42.15,46.74,88.58,43.61,90.31,36.03
2015-06-16,39.48,32.73,91.16,40.91,42.9,46.65,89.73,43.01,91.13,36.52
2015-06-17,39.88,32.98,91.33,41.21,42.89,46.71,89.14,43.27,91.73,36.27
2015-06-18,39.975,33.43,91.97,41.26,43.22,46.7,89.76,43.68,92.95,37.07
2015-06-19,41.56,33.35,91.96,41.15,43.06,46.77,89.29,43.16,92.44,36.95
2015-06-20,41.56,33.35,91.96,41.15,43.06,46.77,89.29,43.16,92.44,36.95
2015-06-21,41.56,33.35,91.96,41.15,43.06,46.77,89.29,43.16,92.44,36.95
2015-06-22,43.03,33.6,92.14,41.52,43.45,47.33,90.98,43.53,93.05,37.59
2015-06-23,42.725,33.795,92.85,41.54,43.38,47.31,91.47,43.8,92.89,37.8
2015-06-24,42.24,33.265,91.45,41.83,43.34,47.16,90.7,43.59,91.875,37.47
2015-06-25,42.24,32.93,90.22,41.89,43.51,46.64,89.73,42.9,92.7,37.48
2015-06-26,41.44,33.165,89.44,41.35,42.89,46.5,90.72,42.84,92.75,37.2
2015-06-27,41.44,33.165,89.44,41.35,42.89,46.5,90.72,42.84,92.75,37.2
2015-06-28,41.44,33.165,89.44,41.35,42.89,46.5,90.72,42.84,92.75,37.2
2015-06-29,39.75,32.17,87.86,40.31,42.03,45.17,87.29,42.04,90.1,36.51
2015-06-30,39.935,31.855,87.8,39.96,41.65,44.81,87.52,41.21,89.94,36.45
2015-07-01,38.8,32.32,89.86,39.27,42.14,44.69,88.98,40.73,90.78,36.53
2015-07-02,39.03,32.705,89.52,41.29,42.26,45.18,88.17,41.04,90.32,36.68
2015-07-03,39.03,32.705,89.52,41.29,42.26,45.18,88.17,41.04,90.32,36.68
2015-07-04,39.03,32.705,89.52,41.29,42.26,45.18,88.17,41.04,90.32,36.68
2015-07-05,39.03,32.705,89.52,41.29,42.26,45.18,88.17,41.04,90.32,36.68
2015-07-06,39.73,32.56,86.12,39.91,41.95,44.26,87.51,40.14,91.04,35.98
2015-07-07,40.675,32.805,87.02,39.71,41.81,43.72,87.0,39.72,90.73,35.64
2015-07-08,39.31,32.165,85.67,39.15,41.36,42.55,84.86,38.17,87.61,35.115
2015-07-09,39.67,32.275,85.6,39.13,41.8,43.02,85.72,38.53,88.72,35.39
2015-07-10,41.21,33.225,85.72,39.9,42.45,43.87,87.36,39.14,91.15,36.46
2015-07-11,41.21,33.225,85.72,39.9,42.45,43.87,87.36,39.14,91.15,36.46
2015-07-12,41.21,33.225,85.72,39.9,42.45,43.87,87.36,39.14,91.15,36.46
2015-07-13,42.42,33.59,86.41,39.96,42.89,44.42,88.61,40.67,92.52,36.58
2015-07-14,42.06,33.92,87.13,40.33,43.34,44.54,88.75,40.51,93.3,36.99
2015-07-15,41.54,33.945,86.7,40.04,43.12,44.69,88.68,40.47,93.42,36.78
2015-07-16,41.39,33.79,87.97,39.54,43.1,45.24,89.53,40.81,93.92,37.04
