,ADM,AXP,DIS,FDX,IBM,INTC,KO,MAT,MSFT,PG
2016-08-22,0.0,0.0,0.14860853167895774,0.0,0.0,0.0,0.3775939154714499,0.19586618191604513,0.0,0.2779313709335473
2016-08-29,0.0,0.06308843508414956,0.14765312555629828,0.0,0.0,0.0,0.36531916313276436,0.059208284034385016,0.0853180912092182,0.2814031519635768
2016-09-05,0.0,0.08904041313193939,0.25903303519882026,0.0,0.0,0.0,0.36125138723777794,0.0,0.0030899857206106852,0.28264743528341707
2016-09-12,0.0,0.0,0.2566235177539588,0.0,0.0,0.0,0.36047736960926274,0.09379840898522913,0.00308086295097953,0.2867410265066136
2016-09-19,0.0,0.0,0.253614073515906,0.0,0.0,0.0,0.34804711548480527,0.09012059902805764,0.003023106797758602,0.28159754464576636
2016-09-26,0.0,0.0,0.2542980381154631,0.0,0.0,0.0,0.34854103286723404,0.08989251779040353,0.0030380806152603248,0.2865469328514878
2016-10-03,0.0,0.0,0.25093293228564023,0.0,0.0,0.0,0.35059902196068765,0.08940784516038869,0.0030990454436602023,0.2858352561160245
2016-10-10,0.0,0.0,0.25345536785101597,0.0,0.0,0.0,0.3446184540216594,0.05859434675517126,0.0030627949564835974,0.3130003808514225
2016-10-17,0.0,0.0,0.2514801394771137,0.0,0.0,0.0,0.337696651526446,0.06149958020159879,0.0030604003069387518,0.31370227763801706
2016-10-24,0.0,0.0,0.26793572991177966,0.0,0.0,0.0,0.3413222742570093,0.04555885339879273,0.003086726693713907,0.3099583693209708
2016-10-31,0.0,0.0,0.27259713934850305,0.0,0.0,0.0,0.3459806783469075,0.051566449922022514,0.0,0.3082774248093332
2016-11-07,0.0,0.0,0.2724124047270477,0.0,0.0,0.0,0.4982578617525752,0.0,0.0,0.2003687069135133
2016-11-14,0.0,0.0,0.27827993027534104,0.0,0.0,0.0,0.5072482695144931,0.0,0.0,0.20177601734779338
2016-11-21,0.0,0.0,0.28806896787349884,0.0,0.0,0.0,0.49021381270243936,0.0,0.0,0.1929168828106846
2016-11-28,0.0,0.0,0.28873671816389274,0.0,0.0,0.0024535569913509713,0.3821236625823416,0.06567609249190175,0.03807117108570867,0.19135580624591877
2016-12-05,0.0,0.0,0.39777219132477304,0.0,0.0,0.0,0.3809016808208439,0.007861871816958547,0.0,0.1861199566988064
2016-12-12,0.0,0.0,0.40173918085582944,0.0,0.0,0.0,0.3774624358025445,0.007271773835546366,0.0,0.18421908952206015
2016-12-19,0.0,0.0,0.33113371145260434,0.05137032974030048,0.0,0.0,0.3891808756208612,0.007398662831235638,0.0,0.2205704327290046
2016-12-26,0.0,0.0,0.1963357227399029,0.0,0.0,0.0,0.3897242829519237,0.19562326624746174,0.0,0.219823030231797
2017-01-02,0.0,0.0,0.19579582742798776,0.0,0.0,0.0,0.38925653897334483,0.18838046711650036,0.0,0.2199010093131137
