,ADM,AXP,DIS,FDX,IBM,INTC,KO,MAT,MSFT,PG
2016-08-22,0.0,0.10013773848226418,0.12357350123298509,0.0,0.0,0.0631092506469648,0.28941819797640994,0.023824174719697323,0.09958283056297626,0.3003543063787024
2016-08-29,0.0,0.20875397078335056,0.25497697574647404,0.0,0.0,0.0,0.29094633305619644,0.0,0.0013990194854335593,0.24751386533125114
2016-09-05,0.0,0.18754470979164,0.25213089229382935,0.0,0.0,0.0,0.2870162230431137,0.0,0.0013995912959231232,0.26816773808213795
2016-09-12,0.0,0.13811780308069058,0.25056850885197873,0.0,0.0,0.0,0.08884052105271256,0.0,0.20066394658217404,0.32315297032593165
2016-09-19,0.0,0.11472789210727703,0.2486245704628584,0.0,0.0,0.0,0.2815059843465867,0.0,0.0193536461924478,0.3186308644649941
2016-09-26,0.0,0.003307912374181254,0.2964605398475437,0.0,0.0,0.0,0.3442581316061369,0.0,0.019492573426422168,0.32494908617144486
2016-10-03,0.0,0.020001366910987552,0.29335198322225986,0.0,0.0,0.0,0.2085945489076043,0.11925958192287311,0.019939088979123238,0.3250445081947267
2016-10-10,0.0,0.0,0.27434374534632533,0.0,0.0,0.0,0.20509483222227864,0.15609768148270325,0.01971147951271834,0.3252830295765357
2016-10-17,0.0,0.0,0.25507522061029103,0.0,0.0,0.0,0.2187773565391457,0.15395054024780294,0.019701151171813917,0.32609660624028036
2016-10-24,0.0,0.0,0.2438101038553948,0.0,0.0,0.0,0.22116889069645898,0.18843360437165535,0.01987445998508644,0.3034511035813678
2016-10-31,0.0,0.0,0.24979051750443532,0.0,0.0,0.0,0.24322972500845053,0.20011418118813265,0.0,0.30191181199465494
2016-11-07,0.0,0.0,0.372867630635239,0.0,0.0,0.0,0.2987844525207499,0.007355947130325096,0.0,0.30261327178204855
2016-11-14,0.0,0.0,0.2944944752828878,0.0,0.0,0.0,0.3048567462331951,0.11790877941279641,0.0,0.27991626461197266
2016-11-21,0.0,0.0,0.4390224016864644,0.0,0.0,0.0,0.29542067181688914,0.0,0.0,0.2555379094574754
2016-11-28,0.0,0.0,0.4390673374491756,0.0,0.0,0.0,0.29492165041179313,0.0,0.0,0.2529097989320814
2016-12-05,0.0,0.0,0.37804374173307276,0.0,0.0,0.0,0.4166286120860232,0.0,0.0,0.1998627619991456
2016-12-12,0.0,0.0,0.3817987663574906,0.0,0.0,0.0,0.4107563254515177,0.0,0.0,0.19991098561164428
2016-12-19,0.0,0.0,0.3941199653469733,0.02847253928767119,0.0,0.0,0.41190180963676,0.0,0.0,0.1875929791904593
2016-12-26,0.0,0.0,0.4280549018837854,0.0,0.0,0.0,0.4111389224735925,0.0,0.0,0.18635085648080174
2017-01-02,0.0,0.0,0.4268778117875755,0.0,0.0,0.0,0.41064547681531893,0.0,0.0,0.18641696178639974
