,AAL,AZN,BG,BP,GSK,HSBC,PRU,RIO,TSCO,VOD
2015-02-09,0.0,0.0,0.17113954376506604,0.0,0.10082772505251583,0.3004666206564972,0.0,0.08613747374208848,0.10082772505251583,0.24060091173131667
2015-02-16,0.04170942769492007,0.0,0.24347412483183822,0.0,0.0,0.4920035198172495,0.0,0.0,0.0966061518625847,0.11789273486404578
2015-02-23,0.027474292085275187,0.0,0.22099984142142198,0.0,0.0,0.6104704186467433,0.0,0.0,0.0,0.11893288706853125
2015-03-02,0.029549649289273373,0.0,0.32876448083252924,0.0,0.0,0.5957157043063542,0.0,0.0,0.0,0.007142739252029956
2015-03-09,0.0,0.0,0.24570736536918145,0.0,0.18921641362755406,0.5097598379888052,0.0,0.0,0.0,0.007132281868216243
2015-03-16,0.015730782060465794,0.0,0.24081010560474508,0.0,0.17325619614157736,0.48194273395953185,0.0,0.0,0.0,0.0
2015-03-23,0.10066348624505862,0.0,0.1654722527945658,0.0,0.1787647983425829,0.2999722595409109,0.0,0.0,0.0,0.17023126893793258
2015-03-30,0.0,0.0,0.16230353907618775,0.0,0.14114879547227097,0.2687514865526703,0.0,0.0,0.0,0.3571254993880643
2015-04-06,0.15765072520659498,0.0,0.16795148907876328,0.0,0.13702446305324625,0.29191458283445987,0.0,0.0,0.0,0.1631447281903787
2015-04-13,0.09923118708881543,0.0,0.09498286908648572,0.0,0.14068185059275665,0.29885154845172107,0.0,0.10826051055281201,0.0,0.17471869217882724
2015-04-20,0.0666145696130258,0.0,0.09777618942305506,0.0,0.08498718908140346,0.31495546610563846,0.0,0.0,0.054232965212657656,0.3228788495315252
2015-04-27,0.1264462609715,0.0,0.0965479542122061,0.0,0.08353193776970173,0.37639756768256805,0.0,0.0,0.07510168029401264,0.1877457183846504
2015-05-04,0.09841386580331259,0.0,0.09899929506184069,0.0,0.08321551750110971,0.4416753248781964,0.0,0.0,0.06894967793430987,0.19506351978557832
2015-05-11,0.09051133415210708,0.0,0.1729497408023055,0.0,0.06581702021057632,0.42452680483954525,0.0,0.0,0.06880426533777705,0.1312550200736845
